,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
6180,6180,1266200130,20140615T000000,650000.0,3.0,1.75,2140,9484,1.0,0,0,3,7,1290,850,1953,0,98004,47.6234,-122.191,1960,9630,"[390, 394, 509, 1513, 1609, 1731]","[439, 481, 588, 632, 851, 911]","[339, 477, 563, 647, 665, 676]","[888, 2728, 3264, 3439, 3672, 3814]","[277, 484, 532, 582, 751, 1096]","[2324, 2744, 2778, 3616, 3986, 4068]","[740, 968, 1055, 1178, 1183, 1423]","[3125, 3165, 3912, 4549, 5139, 5180]","[863, 990, 1002, 1023, 1103, 1107]"
6243,6243,5536100010,20150204T000000,1050000.0,4.0,1.0,1330,9729,1.0,0,0,3,6,1330,0,1952,0,98004,47.6223,-122.208,2920,10353,"[902, 909, 997, 1095, 1188, 1336]","[591, 636, 661, 714, 737, 740]","[441, 457, 459, 486, 488, 497]","[813, 2568, 2864, 3429, 3952, 4323]","[719, 931, 1026, 1127, 1337, 1381]","[2131, 2137, 2546, 3982, 4679, 4893]","[466, 639, 1016, 1484, 1549, 1798]","[1846, 3391, 3866, 5426, 5804, 6030]","[689, 739, 790, 854, 912, 945]"
6335,6335,824059321,20140602T000000,1965220.0,4.0,3.5,4370,8510,2.0,0,1,3,10,3610,760,2003,0,98004,47.5876,-122.204,2960,10347,"[647, 962, 1186, 1630, 1695, 1770]","[1662, 2175, 2247, 2258, 2323, 2346]","[1445, 1665, 2203, 2235, 2256, 2266]","[1028, 1156, 1167, 2749, 2790, 2938]","[1365, 1378, 1977, 2137, 2242, 2296]","[1370, 3852, 4110, 4679, 5935, 5957]","[2171, 2389, 2574, 2672, 2902, 2981]","[573, 2829, 4201, 4258, 5611, 5780]","[2448, 2520, 2524, 2551, 2875, 2960]"
6355,6355,4340000080,20150327T000000,1450000.0,4.0,3.5,2820,7809,2.0,0,0,3,10,2820,0,1995,0,98004,47.622,-122.195,2630,7904,"[233, 241, 244, 1211, 1619, 1649]","[292, 524, 586, 658, 705, 737]","[164, 274, 310, 328, 347, 356]","[782, 2753, 3291, 3450, 3642, 3731]","[233, 308, 418, 511, 558, 815]","[2442, 2654, 2678, 3936, 4073, 4192]","[800, 840, 873, 1164, 1199, 1222]","[2815, 3301, 3736, 4830, 5420, 5467]","[673, 699, 783, 796, 811, 842]"
6377,6377,862000020,20150206T000000,800000.0,6.0,1.0,1430,20620,2.0,0,0,3,7,1430,0,1954,0,98004,47.6255,-122.209,2450,10080,"[829, 973, 977, 1211, 1457, 1685]","[942, 994, 1016, 1047, 1075, 1076]","[162, 167, 788, 789, 793, 842]","[661, 2334, 2570, 3728, 4134, 4257]","[980, 1146, 1339, 1358, 1409, 1560]","[1774, 1778, 2243, 3633, 4910, 4933]","[486, 821, 1198, 1198, 1886, 1986]","[1841, 3073, 4230, 5269, 5839, 5916]","[1015, 1068, 1130, 1193, 1250, 1286]"
6385,6385,4122700020,20140710T000000,850000.0,5.0,2.0,2310,13430,1.5,0,0,4,8,2310,0,1966,0,98004,47.6395,-122.203,2810,13906,"[864, 1696, 1794, 1802, 1905, 2068]","[523, 696, 1503, 1539, 1920, 2118]","[430, 504, 589, 612, 762, 1197]","[1306, 2419, 2630, 2908, 4368, 4389]","[460, 1795, 1998, 2226, 2230, 2342]","[676, 1094, 1171, 2067, 3300, 3424]","[557, 1400, 2326, 2720, 2730, 2757]","[1457, 3040, 4261, 4719, 5268, 5513]","[1972, 1974, 2407, 2460, 2547, 2598]"
6449,6449,2344300122,20140808T000000,900000.0,3.0,3.25,2620,7215,1.0,0,0,4,8,1770,850,1980,0,98004,47.5836,-122.2,2180,8931,"[883, 1082, 1483, 1543, 1714, 1972]","[1833, 2242, 2291, 2423, 2463, 2511]","[1713, 1837, 2144, 2150, 2318, 2321]","[492, 857, 922, 2402, 2745, 2809]","[1066, 1463, 2095, 2470, 2543, 2588]","[1480, 3391, 3985, 4491, 6060, 6431]","[2130, 2455, 2491, 2524, 2617, 3062]","[595, 2344, 3904, 4793, 5078, 5679]","[2441, 2744, 2891, 2968, 2986, 3380]"
6510,6510,6043400006,20140729T000000,815000.0,4.0,1.5,2060,16110,1.0,0,0,4,8,2060,0,1949,0,98004,47.5983,-122.202,2060,16110,"[560, 596, 765, 965, 1149, 1309]","[1046, 1236, 1344, 1370, 1406, 1637]","[1045, 1203, 1219, 1290, 1294, 1296]","[1754, 2078, 2141, 2345, 2405, 3282]","[1235, 1257, 1341, 1384, 1516, 1892]","[2330, 3785, 4415, 4466, 4808, 4824]","[1486, 2112, 2268, 2446, 2474, 2563]","[1177, 3383, 3525, 5378, 5780, 5952]","[1329, 1347, 1388, 1761, 1796, 1888]"
6514,6514,1925059049,20140721T000000,775000.0,3.0,1.0,1175,10454,1.0,0,0,4,6,1175,0,1949,0,98004,47.6388,-122.218,2010,10800,"[921, 1043, 1558, 2214, 2318, 2321]","[458, 500, 1343, 1770, 2154, 2566]","[1390, 1393, 1410, 1480, 1529, 1549]","[1305, 1526, 1769, 3986, 4701, 4760]","[1429, 2532, 2554, 2657, 2827, 2974]","[151, 184, 1685, 2360, 3711, 4013]","[1370, 1742, 2395, 2444, 2901, 3379]","[2192, 2283, 4498, 4500, 4847, 5735]","[2172, 2176, 2632, 2686, 2753, 2815]"
6740,6740,3391500050,20140703T000000,1875000.0,4.0,3.25,3930,10929,2.0,0,0,3,10,3930,0,2006,0,98004,47.6259,-122.194,1780,9999,"[261, 273, 683, 1385, 1624, 1961]","[723, 729, 790, 918, 985, 1136]","[559, 668, 700, 704, 713, 734]","[557, 3080, 3334, 3373, 3484, 3617]","[285, 671, 723, 805, 884, 1190]","[2016, 2390, 2426, 3663, 3809, 4423]","[671, 1097, 1102, 1157, 1413, 1528]","[2870, 2943, 4172, 4813, 5403, 5435]","[1058, 1094, 1185, 1208, 1220, 1231]"
6808,6808,3025059136,20140813T000000,800000.0,2.0,1.0,1050,8750,1.0,0,0,4,7,1050,0,1951,0,98004,47.6294,-122.215,3360,20115,"[584, 1508, 1532, 1533, 1826, 1938]","[901, 907, 1220, 1538, 1578, 1605]","[490, 505, 1198, 1216, 1399, 1409]","[1072, 1756, 1947, 4234, 4352, 4881]","[1605, 1761, 1893, 1899, 1952, 1970]","[1219, 1240, 2113, 3277, 4600, 4807]","[951, 1222, 1387, 1412, 2496, 2582]","[1628, 2863, 4751, 4764, 5469, 5855]","[1629, 1682, 1737, 1800, 1858, 1892]"
6823,6823,8964800225,20150303T000000,1430000.0,3.0,2.0,1890,12017,1.0,0,2,3,8,1890,0,1949,0,98004,47.6203,-122.21,2000,12210,"[948, 1106, 1109, 1109, 1118, 1372]","[535, 545, 580, 590, 642, 703]","[477, 487, 554, 554, 587, 598]","[1080, 2570, 2925, 3403, 3915, 4205]","[806, 987, 1046, 1234, 1293, 1298]","[2292, 2307, 2806, 4215, 4435, 5020]","[416, 775, 907, 1478, 1747, 1904]","[1689, 3646, 3688, 5347, 5902, 5940]","[687, 724, 745, 807, 864, 886]"
6849,6849,524059093,20140825T000000,775000.0,3.0,1.75,1640,18730,1.5,0,0,4,7,1640,0,1946,0,98004,47.5975,-122.196,1670,12154,"[646, 751, 1010, 1039, 1061, 1184]","[599, 1005, 1443, 1499, 1579, 1676]","[598, 982, 1017, 1413, 1451, 1451]","[1463, 1723, 1942, 1955, 2397, 3390]","[945, 1019, 1043, 1445, 1589, 1983]","[2543, 3336, 4011, 4029, 5027, 5036]","[1502, 1958, 2284, 2441, 2452, 2799]","[1013, 3187, 3763, 5405, 5441, 5907]","[1195, 1499, 1556, 1847, 1878, 1996]"
6979,6979,1056200010,20140902T000000,750000.0,3.0,1.75,1590,8285,1.0,0,0,4,8,1590,0,1956,0,98004,47.5855,-122.194,1970,8970,"[435, 1012, 1045, 1055, 1478, 1788]","[1458, 2028, 2077, 2148, 2148, 2227]","[1462, 1805, 1833, 1986, 1988, 2022]","[389, 629, 1399, 2257, 2346, 2350]","[1512, 1676, 1954, 2112, 2278, 2473]","[1967, 3083, 3488, 4001, 6084, 6151]","[1800, 2118, 2212, 2838, 2901, 3084]","[369, 2086, 4301, 4865, 4967, 5399]","[2096, 2434, 2824, 2865, 3027, 3189]"
6982,6982,824059265,20141001T000000,1155000.0,3.0,1.75,1640,10464,1.0,0,2,4,8,1640,0,1968,0,98004,47.5873,-122.205,2630,18872,"[701, 1042, 1192, 1629, 1711, 1820]","[1740, 2097, 2169, 2242, 2269, 2324]","[1365, 1742, 2123, 2179, 2189, 2190]","[1047, 1103, 1233, 2830, 2872, 2957]","[1298, 1319, 2056, 2070, 2314, 2361]","[1289, 3904, 4192, 4759, 5954, 5978]","[2092, 2308, 2628, 2723, 2962, 3033]","[652, 2874, 4145, 4250, 5635, 5705]","[2477, 2512, 2557, 2558, 2931, 2968]"
7002,7002,6377200010,20141208T000000,2175000.0,4.0,3.0,4750,21701,1.5,0,0,5,11,4750,0,1976,0,98004,47.6454,-122.218,3120,18551,"[914, 1529, 1789, 1844, 1873, 2146]","[1105, 1142, 1509, 1721, 1994, 2273]","[1311, 1459, 1469, 1474, 1504, 1508]","[1409, 1896, 2336, 3822, 4019, 4089]","[1369, 3010, 3193, 3265, 3298, 3420]","[553, 591, 1594, 1723, 3067, 3436]","[1755, 2207, 2348, 2767, 3128, 3131]","[1799, 2949, 3797, 4125, 4619, 5360]","[1513, 1517, 3298, 3353, 3426, 3486]"
7035,7035,853200010,20140701T000000,3800000.0,5.0,5.5,7050,42840,1.0,0,2,4,13,4320,2730,1978,0,98004,47.6229,-122.22,5070,20570,"[823, 1272, 1377, 1506, 1583, 1648]","[1328, 1331, 1349, 1365, 1387, 1428]","[723, 741, 1279, 1286, 1344, 1345]","[1533, 1813, 2253, 4180, 4683, 4791]","[1595, 1777, 1823, 1925, 2017, 2044]","[1913, 1956, 2912, 4071, 4668, 5404]","[628, 1217, 1359, 1952, 2239, 2689]","[969, 3676, 4221, 4545, 5412, 5771]","[1489, 1526, 1539, 1598, 1653, 1670]"
7068,7068,2025059150,20140702T000000,1038000.0,4.0,1.75,1440,13296,1.0,0,0,4,8,1440,0,1967,0,98004,47.63399999999999,-122.204,3520,10802,"[410, 1254, 1261, 1709, 2218, 2274]","[252, 782, 1389, 1414, 1706, 1786]","[249, 260, 989, 1051, 1076, 1112]","[724, 2447, 2492, 3264, 4237, 4775]","[1057, 1375, 1640, 1664, 1801, 1852]","[1228, 1240, 1287, 2674, 3915, 4026]","[258, 794, 1711, 2185, 2268, 2583]","[2059, 2596, 4874, 5100, 5324, 5531]","[1802, 1857, 1942, 1994, 2042, 2086]"
7231,7231,6448000020,20150129T000000,1490000.0,4.0,2.5,2420,18480,1.0,0,0,4,9,2420,0,1967,0,98004,47.6214,-122.227,3330,19910,"[273, 962, 971, 1769, 1848, 1979]","[1612, 1647, 1748, 1751, 1771, 1773]","[951, 1271, 1288, 1741, 1761, 1764]","[1630, 2083, 2197, 4540, 4931, 5023]","[2086, 2182, 2193, 2324, 2402, 2513]","[2170, 2230, 3374, 4402, 4538, 5241]","[736, 1674, 1909, 2463, 2602, 3182]","[421, 4096, 4109, 4324, 4863, 5223]","[1945, 1968, 1973, 2021, 2072, 2081]"
7330,7330,2450000290,20141215T000000,1245000.0,5.0,2.5,3370,8113,2.0,0,0,3,9,3370,0,2005,0,98004,47.5812,-122.196,2470,8113,"[932, 1274, 1410, 1497, 1817, 1973]","[1905, 1959, 2067, 2164, 2175, 2412]","[1783, 1788, 1944, 1955, 1960, 1963]","[131, 701, 1024, 2010, 2680, 2820]","[1083, 1721, 2171, 2608, 2613, 2668]","[1750, 3013, 3838, 4294, 6154, 6290]","[1770, 2150, 2152, 2781, 2914, 3313]","[799, 1955, 3813, 4681, 5176, 5280]","[2085, 2930, 3127, 3239, 3265, 3295]"
7404,7404,524059148,20140606T000000,1600000.0,4.0,3.5,4280,9583,2.0,0,0,3,11,4280,0,2005,0,98004,47.5979,-122.197,2360,10031,"[633, 747, 965, 980, 1079, 1271]","[671, 1009, 1387, 1440, 1514, 1631]","[670, 983, 1014, 1353, 1387, 1402]","[1533, 1784, 1987, 2030, 2410, 3338]","[1013, 1043, 1047, 1375, 1539, 1932]","[2525, 3410, 4089, 4114, 4960, 4970]","[1460, 1950, 2280, 2379, 2437, 2725]","[1057, 3266, 3678, 5454, 5456, 5960]","[1192, 1434, 1486, 1795, 1827, 1941]"
7451,7451,7000100635,20140715T000000,600000.0,3.0,1.0,940,19000,1.0,0,0,3,6,940,0,1945,0,98004,47.5828,-122.19,2280,19000,"[693, 791, 1093, 1343, 1464, 1908]","[1607, 1683, 1695, 1764, 1769, 2498]","[1407, 1425, 1586, 1595, 1612, 1619]","[286, 553, 1507, 1951, 2237, 2425]","[1558, 1847, 2153, 2185, 2206, 2344]","[2209, 2675, 3360, 3811, 5840, 6145]","[1398, 1741, 1804, 3166, 3208, 3363]","[786, 1664, 4210, 4549, 5018, 5029]","[1702, 2688, 2705, 3192, 3242, 3474]"
7597,7597,685000265,20150102T000000,825000.0,3.0,1.75,1930,8442,1.0,0,0,4,7,1930,0,1953,0,98004,47.6313,-122.204,1790,8442,"[434, 999, 1004, 1437, 2049, 2306]","[468, 947, 1427, 1465, 1482, 1490]","[408, 433, 806, 830, 1224, 1229]","[451, 2514, 2550, 3436, 3986, 4524]","[1199, 1347, 1349, 1388, 1536, 1745]","[1434, 1467, 1504, 2974, 4212, 4313]","[453, 497, 1412, 1936, 2045, 2335]","[2347, 2438, 4802, 5174, 5547, 5624]","[1504, 1559, 1643, 1696, 1745, 1788]"
7663,7663,8085400355,20141204T000000,1270000.0,5.0,3.0,3950,9520,1.0,0,0,3,9,2250,1700,1953,2002,98004,47.6363,-122.207,1890,9520,"[407, 1587, 1593, 1901, 2035, 2156]","[474, 937, 1150, 1180, 2026, 2076]","[522, 527, 894, 954, 1201, 1225]","[1047, 2165, 2277, 3331, 4573, 4761]","[921, 1713, 1945, 1986, 2130, 2133]","[913, 967, 1141, 2424, 3704, 3863]","[501, 1090, 1971, 2308, 2608, 2923]","[1904, 2578, 4631, 5062, 5306, 5382]","[2089, 2144, 2226, 2281, 2300, 2303]"
7710,7710,644200040,20140515T000000,1000000.0,5.0,4.25,3920,16258,2.0,0,0,3,9,2900,1020,1990,0,98004,47.5871,-122.192,2540,12131,"[214, 828, 870, 1009, 1285, 1770]","[1246, 2031, 2031, 2035, 2083, 2088]","[1250, 1768, 1811, 1939, 1955, 1987]","[314, 845, 1627, 2031, 2118, 2451]","[1450, 1744, 1901, 2083, 2153, 2355]","[2162, 3051, 3280, 3811, 5851, 6015]","[1770, 2052, 2187, 2673, 2980, 3059]","[362, 2095, 4530, 4816, 5030, 5324]","[2050, 2238, 2691, 2741, 2919, 3034]"
7763,7763,2925059294,20150327T000000,860000.0,3.0,2.0,1880,8494,1.0,0,0,4,7,1200,680,1968,0,98004,47.6217,-122.192,1290,9128,"[319, 401, 403, 1321, 1486, 1744]","[405, 431, 439, 614, 725, 738]","[148, 292, 379, 514, 515, 518]","[951, 2601, 3139, 3640, 3670, 3848]","[281, 355, 397, 479, 593, 898]","[2497, 2827, 2855, 3722, 3998, 4151]","[665, 968, 996, 1035, 1045, 1221]","[3038, 3346, 3716, 4604, 5193, 5241]","[799, 834, 848, 922, 922, 924]"
7844,7844,8084900195,20141121T000000,1646000.0,6.0,3.5,4010,16200,1.0,0,0,3,8,2090,1920,1955,1990,98004,47.6322,-122.216,3560,16200,"[512, 1645, 1674, 1742, 1743, 1794]","[627, 631, 1167, 1693, 1843, 1888]","[795, 813, 1169, 1180, 1696, 1697]","[1232, 1610, 1705, 4140, 4628, 5160]","[1704, 1879, 2016, 2058, 2201, 2268]","[899, 921, 1940, 2995, 4330, 4562]","[1147, 1178, 1678, 1718, 2796, 2807]","[1777, 2640, 4644, 5084, 5178, 5553]","[1925, 1978, 2038, 2101, 2159, 2194]"
7911,7911,1051000040,20150424T000000,1824100.0,3.0,2.25,3330,20053,2.0,0,0,3,9,3330,0,1968,1998,98004,47.6395,-122.214,2870,20053,"[808, 1279, 1865, 2178, 2183, 2188]","[742, 783, 1097, 1486, 1980, 2518]","[1105, 1150, 1157, 1170, 1400, 1532]","[1596, 1627, 1835, 3678, 4533, 4583]","[1121, 2341, 2472, 2548, 2707, 2745]","[284, 352, 1378, 2176, 3518, 3784]","[1127, 1630, 2416, 2503, 2754, 3202]","[1919, 2505, 4353, 4731, 4803, 5830]","[2006, 2009, 2578, 2634, 2707, 2767]"
7940,7940,8146100410,20140805T000000,760000.0,3.0,1.5,1170,7645,1.0,0,0,4,7,1170,0,1955,0,98004,47.6077,-122.194,1870,7678,"[476, 798, 879, 931, 1039, 1233]","[452, 499, 576, 600, 628, 700]","[372, 413, 421, 476, 516, 535]","[1647, 2120, 2295, 2524, 3079, 3511]","[407, 551, 744, 771, 921, 1181]","[3353, 3533, 4033, 4042, 4044, 4096]","[393, 928, 1260, 1358, 1467, 2174]","[2153, 3230, 4117, 4881, 4891, 5433]","[388, 698, 789, 813, 830, 955]"
8084,8084,8146100325,20140505T000000,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,8,1330,0,1961,0,98004,47.6074,-122.195,1690,7800,"[476, 729, 797, 896, 1121, 1169]","[462, 497, 559, 588, 655, 709]","[397, 419, 463, 475, 485, 489]","[1703, 2167, 2312, 2504, 3043, 3457]","[458, 540, 708, 787, 924, 1229]","[3414, 3465, 4040, 4041, 4063, 4155]","[406, 1005, 1336, 1426, 1455, 2126]","[2115, 3178, 4117, 4923, 4962, 5513]","[459, 646, 774, 789, 815, 952]"
8244,8244,5078400090,20141209T000000,915000.0,5.0,2.75,2580,7630,1.0,0,0,4,7,1730,850,1954,0,98004,47.6226,-122.205,2040,7717,"[675, 682, 796, 1086, 1194, 1412]","[546, 609, 615, 627, 655, 703]","[354, 358, 369, 440, 473, 496]","[658, 2746, 3007, 3289, 3817, 4143]","[543, 730, 927, 928, 1143, 1166]","[2192, 2195, 2449, 3941, 4666, 4758]","[443, 503, 1226, 1385, 1458, 1591]","[2073, 3305, 3855, 5582, 5634, 5965]","[586, 641, 712, 772, 827, 866]"
8387,8387,4389201021,20140701T000000,1014250.0,3.0,1.0,1640,12855,1.5,0,0,5,6,1500,140,1920,0,98004,47.6169,-122.212,2190,11262,"[743, 760, 1086, 1275, 1298, 1418]","[532, 546, 561, 598, 609, 755]","[545, 550, 608, 623, 651, 662]","[1473, 2708, 3137, 3316, 3808, 3922]","[977, 998, 1031, 1175, 1244, 1408]","[2624, 2647, 3213, 4039, 4606, 4983]","[550, 555, 1305, 1374, 2045, 2049]","[1596, 3376, 4052, 5338, 5650, 5885]","[771, 788, 800, 816, 860, 863]"
8534,8534,2387000110,20141110T000000,898000.0,2.0,1.75,1490,9874,1.0,0,0,4,7,1490,0,1963,0,98004,47.6246,-122.199,2280,9869,"[221, 223, 604, 1205, 1353, 1785]","[596, 726, 849, 864, 882, 924]","[422, 435, 459, 474, 539, 580]","[385, 3063, 3162, 3233, 3679, 3700]","[555, 557, 674, 706, 921, 1042]","[2155, 2241, 2263, 3743, 4194, 4606]","[384, 804, 1132, 1279, 1527, 1577]","[2548, 3020, 4028, 5160, 5751, 5789]","[773, 820, 913, 952, 990, 1034]"
8539,8539,9808700650,20150313T000000,1208000.0,3.0,2.25,1590,8520,2.0,0,0,4,8,1590,0,1980,0,98004,47.6477,-122.216,2470,12005,"[1136, 1548, 1595, 1714, 1920, 2051]","[1214, 1395, 1433, 1806, 2004, 2005]","[1163, 1174, 1207, 1212, 1229, 1311]","[1657, 2177, 2481, 3648, 3725, 3793]","[1299, 3104, 3234, 3308, 3311, 3365]","[816, 867, 1428, 1495, 2771, 3146]","[1840, 1915, 2472, 2513, 3157, 3335]","[1572, 3242, 3508, 3847, 4831, 5383]","[1217, 1221, 3205, 3206, 3209, 3238]"
8540,8540,8964800755,20150116T000000,1590000.0,4.0,2.25,3240,11131,1.0,0,0,4,9,2080,1160,1953,0,98004,47.6182,-122.215,2300,12150,"[950, 1027, 1138, 1197, 1330, 1493]","[783, 795, 805, 828, 834, 987]","[796, 807, 818, 843, 862, 872]","[1504, 2449, 2894, 3583, 4075, 4154]","[1187, 1229, 1283, 1434, 1441, 1610]","[2448, 2477, 3168, 4158, 4496, 5248]","[340, 747, 1327, 1641, 2125, 2264]","[1343, 3592, 3989, 5075, 5680, 5892]","[1006, 1011, 1027, 1061, 1109, 1116]"
8638,8638,3835500195,20140618T000000,4489000.0,4.0,3.0,6430,27517,2.0,0,0,3,12,6430,0,2001,0,98004,47.6208,-122.219,3720,14592,"[863, 1113, 1343, 1440, 1482, 1535]","[1161, 1168, 1177, 1199, 1200, 1344]","[791, 814, 1140, 1161, 1182, 1199]","[1566, 2033, 2493, 3990, 4485, 4551]","[1483, 1608, 1698, 1722, 1848, 1911]","[2144, 2184, 3061, 4276, 4435, 5602]","[393, 1073, 1386, 2046, 2066, 2580]","[1014, 3846, 3978, 4692, 5433, 5754]","[1345, 1376, 1377, 1433, 1485, 1498]"
8704,8704,2450500110,20140508T000000,780000.0,4.0,1.75,2480,9195,1.0,0,0,3,7,1390,1090,1950,0,98004,47.584,-122.195,2440,9195,"[618, 1106, 1150, 1221, 1607, 1870]","[1640, 1990, 2081, 2162, 2166, 2405]","[1644, 1804, 1821, 1983, 1992, 2003]","[450, 483, 1239, 2233, 2419, 2527]","[1341, 1838, 1859, 2293, 2454, 2532]","[1857, 3070, 3627, 4120, 6218, 6261]","[1795, 2138, 2199, 2827, 2994, 3002]","[499, 2046, 4119, 4877, 4957, 5405]","[2100, 2611, 2971, 3007, 3075, 3255]"
8728,8728,7000100775,20140721T000000,625000.0,3.0,2.0,1730,12219,1.0,0,0,4,7,1730,0,1986,0,98004,47.5825,-122.189,2470,13594,"[740, 741, 1090, 1302, 1537, 1849]","[1527, 1601, 1683, 1688, 1723, 2470]","[1325, 1343, 1504, 1513, 1530, 1537]","[305, 600, 1565, 1894, 2213, 2418]","[1606, 1861, 2078, 2133, 2256, 2369]","[2281, 2593, 3313, 3753, 5764, 6131]","[1316, 1660, 1722, 3210, 3286, 3401]","[859, 1585, 4227, 4479, 4936, 4950]","[1620, 2611, 2737, 3246, 3299, 3396]"
8869,8869,540100056,20140601T000000,843500.0,4.0,2.0,2630,16475,2.0,0,0,4,8,2630,0,1953,0,98004,47.639,-122.219,2670,15001,"[968, 991, 1486, 2204, 2387, 2390]","[426, 467, 1421, 1847, 2165, 2618]","[1468, 1471, 1471, 1547, 1576, 1596]","[1228, 1463, 1839, 4051, 4706, 4768]","[1492, 2606, 2614, 2721, 2893, 3030]","[124, 192, 1749, 2373, 3724, 4038]","[1448, 1809, 2415, 2495, 2902, 3415]","[2235, 2269, 4425, 4499, 4838, 5660]","[2180, 2184, 2687, 2741, 2807, 2869]"
9013,9013,8146300015,20140716T000000,685000.0,4.0,2.5,2170,8680,1.0,0,0,3,7,1220,950,1959,0,98004,47.6078,-122.192,2010,8680,"[459, 894, 946, 1024, 1048, 1310]","[352, 623, 634, 656, 726, 747]","[276, 331, 453, 517, 557, 599]","[1516, 2000, 2322, 2517, 3102, 3571]","[299, 637, 643, 915, 985, 1153]","[3214, 3625, 3959, 4032, 4099, 4105]","[459, 818, 1153, 1279, 1548, 2272]","[2182, 3360, 4071, 4733, 4887, 5284]","[245, 833, 860, 879, 969, 1026]"
9314,9314,4389200610,20141201T000000,903000.0,2.0,1.5,1140,7800,1.0,0,0,4,6,1140,0,1947,0,98004,47.6142,-122.209,2020,7800,"[416, 434, 714, 1077, 1206, 1423]","[341, 375, 463, 485, 544, 581]","[354, 381, 416, 437, 447, 452]","[1632, 2974, 3080, 3456, 3511, 3554]","[657, 743, 845, 942, 1166, 1291]","[2966, 2984, 3428, 3781, 4658, 4885]","[573, 845, 1046, 1483, 1791, 1869]","[1907, 3018, 4282, 5276, 5664, 5879]","[552, 607, 626, 635, 650, 654]"
9322,9322,7768700300,20141205T000000,2575000.0,4.0,4.25,5540,15408,2.0,0,1,3,11,4280,1260,2006,0,98004,47.6071,-122.212,3570,14750,"[390, 575, 580, 886, 1077, 1345]","[805, 927, 1003, 1084, 1140, 1173]","[555, 586, 631, 650, 688, 744]","[2449, 2918, 2985, 3235, 3279, 3322]","[648, 1146, 1317, 1682, 1700, 1868]","[2964, 3699, 3727, 4249, 4638, 5367]","[1255, 1285, 1381, 2137, 2303, 2385]","[2159, 2383, 4757, 5101, 5842, 5866]","[673, 792, 1248, 1248, 1269, 1280]"
9323,9323,3536900110,20141009T000000,1362500.0,3.0,2.0,2310,21318,1.0,0,0,3,10,2310,0,1979,1996,98004,47.6381,-122.224,2950,21814,"[760, 1104, 1243, 1989, 2607, 2609]","[274, 291, 1759, 2211, 2434, 2715]","[1669, 1684, 1799, 1799, 1857, 1934]","[881, 1078, 2074, 4438, 4943, 5015]","[1879, 2767, 2875, 2902, 3084, 3149]","[459, 548, 2136, 2646, 3993, 4345]","[1783, 2014, 2341, 2589, 3130, 3674]","[2033, 2593, 4044, 4712, 5015, 5415]","[2439, 2444, 2807, 2859, 2915, 2979]"
9449,9449,3472800065,20140826T000000,1698000.0,4.0,3.0,3600,9687,2.0,0,0,4,9,3600,0,1959,1995,98004,47.6257,-122.208,2620,10400,"[812, 904, 907, 1161, 1461, 1712]","[935, 993, 1012, 1020, 1060, 1079]","[233, 241, 765, 769, 772, 833]","[583, 2393, 2613, 3692, 4063, 4222]","[942, 1096, 1287, 1334, 1338, 1509]","[1786, 1786, 2193, 3605, 4857, 4874]","[407, 818, 1141, 1264, 1868, 1928]","[1919, 3029, 4235, 5338, 5811, 5845]","[995, 1049, 1116, 1178, 1234, 1272]"
9573,9573,644000040,20150429T000000,1780000.0,4.0,3.25,3950,10912,2.0,0,0,3,10,3950,0,2003,0,98004,47.5877,-122.196,3000,10998,"[378, 759, 1059, 1177, 1506, 1568]","[1290, 2019, 2300, 2323, 2382, 2385]","[1293, 2007, 2036, 2051, 2056, 2092]","[602, 853, 1461, 2248, 2275, 2632]","[1550, 1611, 1902, 1932, 2067, 2478]","[1906, 3338, 3537, 4088, 5993, 6064]","[2055, 2351, 2470, 2591, 2767, 2975]","[83, 2359, 4445, 4579, 5253, 5627]","[2224, 2342, 2553, 2590, 2931, 2963]"
9593,9593,3537900180,20141020T000000,700000.0,2.0,1.0,1300,12000,1.0,0,0,4,8,1300,0,1959,0,98004,47.6366,-122.229,2420,15000,"[732, 786, 1532, 1765, 2326, 2650]","[481, 504, 2106, 2582, 2784, 2813]","[1795, 1805, 2137, 2140, 2216, 2266]","[630, 668, 2321, 4754, 4845, 5041]","[2287, 2920, 3080, 3142, 3260, 3270]","[868, 957, 2544, 2999, 4336, 4714]","[2127, 2235, 2267, 2686, 3445, 3774]","[1782, 2995, 3660, 5007, 5230, 5278]","[2784, 2788, 2925, 2974, 3020, 3084]"
9656,9656,4389200753,20140819T000000,1565000.0,4.0,2.75,2810,8570,2.0,0,0,3,10,2810,0,1993,0,98004,47.6159,-122.211,2810,9621,"[621, 636, 952, 1260, 1304, 1311]","[453, 454, 503, 537, 565, 692]","[460, 464, 547, 560, 572, 581]","[1527, 2840, 3196, 3271, 3684, 3789]","[888, 897, 968, 1057, 1210, 1362]","[2748, 2769, 3292, 3940, 4709, 4869]","[538, 641, 1257, 1365, 1957, 1981]","[1700, 3246, 4137, 5450, 5516, 5948]","[700, 737, 739, 742, 773, 776]"
